Year,Country,Global Competitiveness Index,Social Progress Index
2019,Angola,38.1124859334975,42.58
2019,Albania,57.614168809961,71.57
2019,United Arab Emirates,75.0073879351259,69.84
2019,Argentina,57.2013285903389,76.86
2019,Armenia,61.2768764261068,71.14
2019,Australia,78.7466263690533,88.02
2019,Austria,76.6091308715,86.4
2019,Azerbaijan,62.7178934849814,NA
2019,Burundi,40.2523413069758,39.09
2019,Belgium,76.3801224896719,86.77
2019,Benin,45.8237421501743,51.07
2019,Burkina Faso,43.4201960969799,47.82
2019,Bangladesh,52.122987825716,54.11
2019,Bulgaria,64.8950107040531,76.17
2019,Bahrain,65.3788694824213,NA
2019,Bosnia and Herzegovina,54.7302775289407,NA
2019,Bolivia,51.8004908341597,63.66
2019,Brazil,60.9294677164551,72.87
2019,Barbados,58.9045568868509,77.89
2019,Brunei Darussalam,62.7593186410552,NA
2019,Botswana,55.4948163350012,65.58
2019,Canada,79.5913444229246,88.81
2019,Switzerland,82.3251182308963,89.89
2019,Chile,70.5383493284296,80.02
2019,China,73.9011172215532,64.54
2019,Cameroon,46.0181378141707,48.04
2019,Colombia,62.731612614114,70.31
2019,Cabo Verde,50.8337194309427,68.55
2019,Costa Rica,62.0056145157109,80.65
2019,Cyprus,66.3854461869177,83.14
2019,Czech Republic,70.8527993445092,84.36
2019,Germany,81.7965371864301,88.84
2019,Denmark,81.1748978937743,90.09
2019,Dominican Republic,58.3112329639516,67.15
2019,Algeria,56.2538903418364,67.06
2019,Ecuador,55.7364108212836,71.88
2019,"Egypt, Arab Rep.",54.5429896350322,61.71
2019,Spain,75.2794053679177,87.47
2019,Estonia,70.9071399718211,83.98
2019,Ethiopia,44.3738345513052,45.41
2019,Finland,80.245629723847,89.56
2019,France,78.806239709774,87.79
2019,Gabon,47.4613597500997,NA
2019,United Kingdom,81.2035647944508,87.98
2019,Georgia,60.612589873118,71.34
2019,Ghana,51.1961101906229,61.75
2019,Guinea,46.1336763569273,40.59
2019,"Gambia, The",45.9207224991802,52.9
2019,Greece,62.5807301168472,82.48
2019,Guatemala,53.515649983402,59.67
2019,Honduras,52.6260762218301,60.31
2019,Croatia,61.9381306186446,79.21
2019,Haiti,36.34444597698,NA
2019,Hungary,65.0750707709054,78.77
2019,Indonesia,64.6291335006949,65.52
2019,India,61.3636521025134,59.1
2019,Ireland,75.1162134056944,87.97
2019,"Iran, Islamic Rep.",52.9659246870798,65.15
2019,Iceland,74.7166255095556,89.29
2019,Israel,76.7439074289768,81.44
2019,Italy,71.5282814748752,85.69
2019,Jamaica,58.254090992113,72.58
2019,Jordan,60.9387686668766,69.57
2019,Japan,82.2712184503664,88.34
2019,Kazakhstan,62.9417065101776,68.2
2019,Kenya,54.1446141131369,53.51
2019,Kyrgyz Republic,53.9963661487059,66.64
2019,Cambodia,52.0810763075228,50.36
2019,"Korea, Rep.",79.619016928186,85.61
2019,Kuwait,65.1049630642536,NA
2019,Lao PDR,50.1030030413584,49.34
2019,Lebanon,56.2898424445994,64.98
2019,Liberia,NA,46.67
2019,Sri Lanka,57.1057432499273,69.09
2019,Lesotho,42.9043923641984,48.44
2019,Lithuania,68.3516127471666,81.3
2019,Luxembourg,77.0281260530563,87.66
2019,Latvia,66.9804435404956,80.42
2019,Morocco,60.0089441873913,66.04
2019,Moldova,56.7477414638304,67.58
2019,Madagascar,42.8590247837583,43.58
2019,Mexico,64.9452108771543,71.51
2019,"Macedonia, FYR",57.3259511452102,68.92
2019,Mali,43.5916620655756,45.98
2019,Malta,68.5461191417169,82.63
2019,Montenegro,60.8215561754441,71.16
2019,Mongolia,52.6146010453285,65.6
2019,Mozambique,38.0785348339983,45.39
2019,Mauritania,40.9194813773281,42.45
2019,Mauritius,64.2699539792692,74.88
2019,Malawi,43.7017590244552,50.52
2019,Malaysia,74.601613008841,74.17
2019,Namibia,54.4621153831467,NA
2019,Nigeria,48.3279349027157,49.2
2019,Nicaragua,51.5213468166141,58.97
2019,Netherlands,82.3921702070629,88.31
2019,Norway,78.0548640531038,90.95
2019,Nepal,51.5724476943391,60.23
2019,New Zealand,76.7477439804777,88.93
2019,Oman,63.606281348723,69.08
2019,Pakistan,51.3581945234896,48.2
2019,Panama,61.6387543180629,73.96
2019,Peru,61.6638719964701,71.31
2019,Philippines,61.8694207846855,63.4
2019,Poland,68.8933115100092,81.25
2019,Portugal,70.4475202444482,87.12
2019,Paraguay,53.6337416118139,67.2
2019,Qatar,72.8692713474644,69.37
2019,Romania,64.3556205295168,74.81
2019,Russian Federation,66.7367016269364,69.71
2019,Rwanda,52.8208064346021,52.96
2019,Saudi Arabia,70.027012025511,63.95
2019,Senegal,49.6853720504009,58.59
2019,Singapore,84.7838168476554,83.23
2019,Sierra Leone,NA,49.09
2019,El Salvador,52.5720130683288,64.65
2019,Serbia,60.8514470701415,71.59
2019,Slovak Republic,66.7722770332285,80.43
2019,Slovenia,70.2007864965253,85.8
2019,Sweden,81.2471877574851,89.45
2019,Seychelles,59.5993868802128,NA
2019,Chad,35.0845706519389,28.79
2019,Thailand,68.1124171483595,67.47
2019,Tajikistan,52.3952075386817,54.92
2019,Trinidad and Tobago,58.3047265228071,NA
2019,Tunisia,56.4097347039659,72.33
2019,Turkey,62.1362144872946,67.49
2019,"Taiwan, China",80.2410383567452,NA
2019,Tanzania,48.1911521881912,52.69
2019,Uganda,48.9396769822593,NA
2019,Ukraine,56.9921748524932,66.97
2019,Uruguay,63.4676660570137,77.77
2019,United States,83.6733157198297,83.62
2019,"Venezuela, RB",41.8290612217845,NA
2019,Vietnam,61.543466769179,NA
2019,"Yemen, Rep.",35.5031144400471,NA
2019,South Africa,62.4358579867023,67.44
2019,Zambia,46.5139414099926,NA
2019,Zimbabwe,44.2434309261065,46.58
